"functionModule","pathLocation"
"zeeguu.api.test.test_session.test_reset_password","zeeguu/api/test/test_session.py"
"zeeguu.api.test.test_session.test_reset_password_can_use_new_password","zeeguu/api/test/test_session.py"
"zeeguu.api.test.test_session.test_reset_password_cant_use_old_password","zeeguu/api/test/test_session.py"
"zeeguu.api.test.test_session.test_reset_password_returns_400_if_password_too_short","zeeguu/api/test/test_session.py"
"zeeguu.api.test.test_session.test_reset_password_returns_400_invalid_code","zeeguu/api/test/test_session.py"
"zeeguu.api.test.test_smartwatch_events._upload_events","zeeguu/api/test/test_smartwatch_events.py"
"zeeguu.api.test.test_smartwatch_events.test_upload_user_activity","zeeguu/api/test/test_smartwatch_events.py"
"zeeguu.api.test.test_system_settings.test_available_languages","zeeguu/api/test/test_system_settings.py"
"zeeguu.api.test.test_system_settings.test_logout_api","zeeguu/api/test/test_system_settings.py"
"zeeguu.api.test.test_teacher_dashboard.__init__","zeeguu/api/test/test_teacher_dashboard.py"
"zeeguu.api.test.test_teacher_dashboard._add_student","zeeguu/api/test/test_teacher_dashboard.py"
"zeeguu.api.test.test_teacher_dashboard._create_teacher","zeeguu/api/test/test_teacher_dashboard.py"
"zeeguu.api.test.test_teacher_dashboard._create_teacher_and_class","zeeguu/api/test/test_teacher_dashboard.py"
"zeeguu.api.test.test_teacher_dashboard._upgrade_to_teacher","zeeguu/api/test/test_teacher_dashboard.py"
"zeeguu.api.test.test_teacher_dashboard.data_dict","zeeguu/api/test/test_teacher_dashboard.py"
"zeeguu.api.test.test_teacher_dashboard.setUp","zeeguu/api/test/test_teacher_dashboard.py"
"zeeguu.api.test.test_teacher_dashboard.test_add_student_to_class_success","zeeguu/api/test/test_teacher_dashboard.py"
"zeeguu.api.test.test_teacher_dashboard.test_add_student_to_class_wrong_invite_code","zeeguu/api/test/test_teacher_dashboard.py"
"zeeguu.api.test.test_teacher_dashboard.test_adding_classes","zeeguu/api/test/test_teacher_dashboard.py"
"zeeguu.api.test.test_teacher_dashboard.test_get_classes_and_get_class_info","zeeguu/api/test/test_teacher_dashboard.py"
"zeeguu.api.test.test_teacher_dashboard.test_get_users_from_class","zeeguu/api/test/test_teacher_dashboard.py"
"zeeguu.api.test.test_teacher_dashboard.test_is_teacher","zeeguu/api/test/test_teacher_dashboard.py"
"zeeguu.api.test.test_teacher_dashboard.test_more_invalid_updates","zeeguu/api/test/test_teacher_dashboard.py"
"zeeguu.api.test.test_teacher_dashboard.test_remove_class","zeeguu/api/test/test_teacher_dashboard.py"
"zeeguu.api.test.test_teacher_dashboard.test_update_class","zeeguu/api/test/test_teacher_dashboard.py"
"zeeguu.api.test.test_translations.test_something","zeeguu/api/test/test_translations.py"
"zeeguu.api.test.test_user_article.setUp","zeeguu/api/test/test_user_article.py"
"zeeguu.api.test.test_user_article.test_article_from_unsupported_language","zeeguu/api/test/test_user_article.py"
"zeeguu.api.test.test_user_article.test_article_info_other_way","zeeguu/api/test/test_user_article.py"
"zeeguu.api.test.test_user_article.test_article_update","zeeguu/api/test/test_user_article.py"
"zeeguu.api.test.test_user_articles.setUp","zeeguu/api/test/test_user_articles.py"
"zeeguu.api.test.test_user_articles.test_starred_or_liked","zeeguu/api/test/test_user_articles.py"
"zeeguu.api.test.test_user_data.test_get_user_details","zeeguu/api/test/test_user_data.py"
"zeeguu.api.test.test_user_data.test_set_language","zeeguu/api/test/test_user_data.py"
"zeeguu.api.test.test_user_languages.test_set_language","zeeguu/api/test/test_user_languages.py"
"zeeguu.api.test.test_user_login.test_set_language","zeeguu/api/test/test_user_login.py"
"zeeguu.api.test.test_user_login.test_set_language_without_invite","zeeguu/api/test/test_user_login.py"
"zeeguu.core.__init__.critical","zeeguu/core/__init__.py"
"zeeguu.core.__init__.debug","zeeguu/core/__init__.py"
"zeeguu.core.__init__.info","zeeguu/core/__init__.py"
"zeeguu.core.__init__.log","zeeguu/core/__init__.py"
"zeeguu.core.__init__.logp","zeeguu/core/__init__.py"
"zeeguu.core.__init__.warning","zeeguu/core/__init__.py"
"zeeguu.core.account_management.user_account_creation.create_account","zeeguu/core/account_management/user_account_creation.py"
"zeeguu.core.account_management.user_account_creation.valid_invite_code","zeeguu/core/account_management/user_account_creation.py"
"zeeguu.core.bookmark_quality.fit_for_study.feedback_prevents_further_study","zeeguu/core/bookmark_quality/fit_for_study.py"
"zeeguu.core.bookmark_quality.fit_for_study.fit_for_study","zeeguu/core/bookmark_quality/fit_for_study.py"
"zeeguu.core.bookmark_quality.negative_qualities.bad_quality_bookmark","zeeguu/core/bookmark_quality/negative_qualities.py"
"zeeguu.core.bookmark_quality.negative_qualities.context_is_too_long","zeeguu/core/bookmark_quality/negative_qualities.py"
"zeeguu.core.bookmark_quality.negative_qualities.origin_has_too_many_words","zeeguu/core/bookmark_quality/negative_qualities.py"
"zeeguu.core.bookmark_quality.negative_qualities.origin_is_a_very_short_word","zeeguu/core/bookmark_quality/negative_qualities.py"
