importerFile,importedModule,importedFile,Internal/external,Mapped correctly?
torch/distributed/_spmd/data_parallel.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/distributed/_spmd/distribute.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/distributed/_spmd/graph_optimization.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/distributed/_spmd/partial_lower.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/distributed/_tensor/dispatch.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/distributed/_tensor/ops/utils.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/distributed/checkpoint/default_planner.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/distributions/transforms.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/fx/experimental/accelerator_partitioner.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/fx/experimental/graph_gradual_typechecker.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/fx/experimental/merge_matmul.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/fx/experimental/migrate_gradual_types/constraint_generator.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/fx/experimental/normalize.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/fx/experimental/optimization.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/fx/experimental/proxy_tensor.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/fx/experimental/symbolic_shapes.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/fx/experimental/unification/unification_tools.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/fx/passes/annotate_getitem_nodes.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/fx/passes/backends/cudagraphs.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/fx/proxy.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/nn/modules/container.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/nn/parallel/data_parallel.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/nn/utils/_expanded_weights/group_norm_expanded_weights.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/onnx/_internal/fx/function_dispatcher.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/onnx/_internal/fx/passes/fx_to_onnxscript.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/testing/_internal/common_methods_invocations.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/testing/_internal/common_utils.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/testing/_internal/opinfo/core.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/utils/_sympy/value_ranges.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
benchmarks/dynamo/microbenchmarks/operatorbench.py,operator_inp_utils.OperatorInputsLoader,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
benchmarks/dynamo/benchmarks.py,timm_models,benchmarks/dynamo/timm_models.py,INTERNAL,MAPPED
benchmarks/dynamo/dist_util.py,dynamo.torchbench.setup_torchbench_cwd,benchmarks/dynamo/torchbench.py,INTERNAL,MAPPED
